TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC,odds_ratio,fisher_p_value,fisher_adj_pvalue,chi2_p_value,chi2_adj_pvalue
ARX,53444,20189,10.04346707,3.794019097,2.64718411,1.404458537,1.404458537,13.83748616,19.43417557,2.6471841101589977,0.0,0.0,0.0,0.0
SNAI2,35058,6437,6.588276859,1.209673631,5.446325928,2.445283321,2.445283321,7.797950489,19.06819827,5.446325928227435,0.0,0.0,0.0,0.0
AR,33140,5444,6.227836588,1.023064043,6.087435709,2.605834631,2.605834631,7.250900631,18.89464797,6.087435709037472,0.0,0.0,0.0,0.0
MSX2,48732,16842,9.15796417,3.165033911,2.893480584,1.532805963,1.532805963,12.32299808,18.88876495,2.8934805842536515,0.0,0.0,0.0,0.0
MSX3,46075,15512,8.658647278,2.915093577,2.970281073,1.570599457,1.570599457,11.57374086,18.17771111,2.9702810727178957,0.0,0.0,0.0,0.0
HOXC4,46906,17340,8.814813005,3.258620592,2.705074971,1.435668579,1.435668579,12.0734336,17.33344926,2.7050749711649367,0.0,0.0,0.0,0.0
NOBOX,50385,20539,9.468604299,3.859792869,2.453137933,1.294628355,1.294628355,13.32839717,17.2553209,2.4531379327133744,0.0,0.0,0.0,0.0
TEF,27927,3942,5.248183234,0.740800598,7.084474886,2.824660922,2.824660922,5.988983833,16.91684859,7.084474885844749,0.0,0.0,0.0,0.0
MAX,37568,10290,7.059968767,1.933748898,3.650923226,1.868261331,1.868261331,8.993717665,16.80261494,3.6509232264334304,0.0,0.0,0.0,0.0
DLX3,38626,11508,7.258793484,2.162641625,3.356447689,1.746935158,1.746935158,9.421435109,16.45863623,3.3564476885644767,0.0,0.0,0.0,0.0
POU6F2,19928,1140,3.744970656,0.214234572,17.48070175,4.127691197,4.127691197,3.959205227,16.34237656,17.480701754385965,0.0,0.0,0.0,0.0
FOXB2,15691,439,2.948732164,0.082499103,35.74259681,5.159572549,5.159572549,3.031231266,15.63985763,35.74259681093394,0.0,0.0,0.0,0.0
SOX1,22432,2156,4.215535013,0.405166436,10.40445269,3.379129171,3.379129171,4.620701449,15.61394706,10.404452690166975,0.0,0.0,0.0,0.0
FOXR1,34830,9752,6.545429944,1.832645214,3.571575062,1.836560442,1.836560442,8.378075159,15.38684142,3.571575061525841,0.0,0.0,0.0,0.0
DMRTA2,15461,446,2.905509399,0.083814578,34.66591928,5.115446114,5.115446114,2.989323977,15.29172572,34.66591928251121,0.0,0.0,0.0,0.0
NKX1-2,35540,11081,6.678856739,2.082397623,3.207291761,1.681355599,1.681355599,8.761254362,14.73078407,3.2072917606714197,0.0,0.0,0.0,0.0
