TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC
FOXN4,14936,1032,2.806848741,0.193938665,14.47286822,3.855278957,3.855278957,3.000787406,11.56887254
MXD1-MAX,24590,6159,4.621077299,1.157430463,3.992531255,1.997303702,1.997303702,5.778507762,11.54143494
DMRT3,23254,5529,4.370009415,1.039037673,4.205823838,2.072388424,2.072388424,5.409047088,11.20964657
PAX3,26544,8054,4.988282872,1.513548457,3.295753663,1.720608414,1.720608414,6.50183133,11.18710569
ZBTB3,19462,3365,3.657397576,0.632367837,5.783655275,2.531981565,2.531981565,4.289765413,10.86160695
CEBPB,24408,6897,4.586874938,1.29611916,3.53892997,1.823313213,1.823313213,5.882994097,10.72654087
FOXP1,11583,434,2.176736005,0.081559477,26.68894009,4.738170107,4.738170107,2.258295482,10.70018815
PGR,19417,3509,3.648940948,0.659429046,5.533485323,2.468188463,2.468188463,4.308369994,10.63386912
HLX,20621,4355,3.875202724,0.818413649,4.735017222,2.243369673,2.243369673,4.693616374,10.52951663
HOXC5,18604,3335,3.496157872,0.626730085,5.578410795,2.479854178,2.479854178,4.122887957,10.22416093
LCOR,61289,42648,11.51773919,8.014628087,1.437089664,0.523150079,0.523150079,19.53236727,10.21835947
PAX4,32529,14962,6.113014374,2.811734793,2.17410774,1.120423436,1.120423436,8.924749167,9.999498127
HOXC6,14201,1455,2.66872382,0.273430967,9.760137457,3.286901466,3.286901466,2.942154786,9.670572881
TLX2,19114,4384,3.591999654,0.823863476,4.359945255,2.12431002,2.12431002,4.41586313,9.380662296
POU2F1,25382,9487,4.769913949,1.782845073,2.675450617,1.4197819,1.4197819,6.552759022,9.303488654
TBR1,21572,6582,4.053919459,1.236922765,3.277423276,1.712562007,1.712562007,5.290842224,9.060895379
VENTX,11992,914,2.253597356,0.171763508,13.12035011,3.713734313,3.713734313,2.425360863,9.007145858
WT1,9290,293,1.745823835,0.055062043,31.70648464,4.986706027,4.986706027,1.800885879,8.980488465
HEYL,13705,1676,2.575512988,0.314962406,8.177207637,3.031608274,3.031608274,2.890475394,8.76278912
TBX20,14317,1980,2.690523127,0.372091625,7.230808081,2.854156885,2.854156885,3.062614752,8.74118298
OVOL2,21684,7082,4.074967066,1.330885296,3.061846936,1.614402163,1.614402163,5.405852362,8.727219748
SETBP1,13664,1756,2.567808061,0.329996411,7.781321185,2.96001513,2.96001513,2.897804471,8.57754508
ZSCAN29,12018,1085,2.258483407,0.203898693,11.0764977,3.469429879,3.469429879,2.462382101,8.543062034
SHOX,24366,9723,4.578982085,1.827195388,2.506016662,1.325396007,1.325396007,6.406177473,8.49072204
LIN54,42297,27530,7.94866639,5.173576984,1.536396658,0.619550731,0.619550731,13.12224337,8.129895475
MLX,25419,11314,4.776867176,2.126184163,2.246685522,1.167798199,1.167798199,6.903051339,8.06137092
ZFHX2,35150,20827,6.605565965,3.913915287,1.687713065,0.755069646,0.755069646,10.51948125,7.942940987
MAFG,21414,7915,4.024227299,1.487426874,2.705495894,1.435893052,1.435893052,5.511654173,7.91414593
EMX1,22030,8673,4.139989138,1.629874071,2.540066874,1.34486648,1.34486648,5.769863209,7.759695627
TBX4,23619,10310,4.438602063,1.9375074,2.290882638,1.195903551,1.195903551,6.376109463,7.62521195
TIGD2,13918,2865,2.615541027,0.538405306,4.857940663,2.280344868,2.280344868,3.153946332,7.192085334
RFX2,11549,1580,2.170346553,0.2969216,7.309493671,2.869771474,2.869771474,2.467268152,7.080495762
RFX8,17791,6439,3.343374796,1.210049481,2.763006678,1.466239049,1.466239049,4.553424277,6.676408481
KLF1,14041,3774,2.63865581,0.709229188,3.72045575,1.89547936,1.89547936,3.347884997,6.345846912
FOXB1,7720,459,1.450781486,0.086257604,16.81917211,4.072034789,4.072034789,1.53703909,6.258876647
TCF3,19974,9052,3.753615208,1.70109767,2.20658418,1.141814787,1.141814787,5.454712879,6.228271822
USF1,18444,7798,3.466089862,1.465439641,2.365221852,1.241975511,1.241975511,4.931529503,6.124838875
LCORL,29976,19026,5.633241689,3.575462249,1.575528225,0.6558356,0.6558356,9.208703937,6.039395867
POU4F1,9145,1063,1.718574701,0.199764342,8.603010348,3.104841573,3.104841573,1.918339043,5.956138812
HOXA2,8606,898,1.617283092,0.168756707,9.583518931,3.26055549,3.26055549,1.786039799,5.823481872
NRF1,12367,3239,2.324069254,0.608689279,3.818153751,1.932875199,1.932875199,2.932758533,5.668656234
ARID5A,11068,2392,2.079954597,0.449516751,4.627090301,2.210105254,2.210105254,2.529471348,5.590397917
ZFHX3,11854,3004,2.227663697,0.564526889,3.946071904,1.980417245,1.980417245,2.792190586,5.529702387
POU5F1B,9035,1332,1.697902944,0.250316184,6.783033033,2.761930519,2.761930519,1.948219128,5.380845867
RUNX1,27373,17618,5.14407275,3.31086376,1.553695085,0.6357034,0.6357034,8.45493651,5.374831886
LHX2,9914,1950,1.863089075,0.366453873,5.084102564,2.345993135,2.345993135,2.229542947,5.230492449
CREB3L2,4738,87,0.890388949,0.01634948,54.45977011,5.767118987,5.767118987,0.906738429,5.22926841
NR4A3,14017,5131,2.634145608,0.964243498,2.731826155,1.449865678,1.449865678,3.598389106,5.21718086
CENPBD1,5464,207,1.026822544,0.038900488,26.39613527,4.722254811,4.722254811,1.065723032,5.032615716
DBP,5367,202,1.008593813,0.037960863,26.56930693,4.73168869,4.73168869,1.046554676,4.951970923
MYBL2,7046,679,1.324119994,0.127601118,10.37702504,3.375320995,3.375320995,1.451721112,4.900024748
RUNX2,17496,9048,3.287936902,1.70034597,1.933687003,0.951354291,0.951354291,4.988282872,4.745624316
