TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
PLAGL2,3,129,0.03532736693358455,1.5190767781441357,0.023255813953488372,-5.426264754702098,5.426264754702098,C2H2 ZF,7.056085624296023e-21,2.8436025065912976e-18,LOF
VEZF1,4,132,0.047103155911446065,1.5544041450777202,0.030303030303030304,-5.044394119358453,5.044394119358453,C2H2 ZF,1.6435785221959716e-20,6.623621444449766e-18,LOF
ZFY,1,19,0.011775788977861516,0.22373999057936883,0.05263157894736842,-4.247927513443585,4.247927513443585,C2H2 ZF,0.0033420517291485033,1.0,Neutral
SCRT2,1,19,0.011775788977861516,0.22373999057936883,0.05263157894736842,-4.247927513443585,4.247927513443585,C2H2 ZF,0.0033420517291485033,1.0,Neutral
WT1,877,52,10.32736693358455,0.6123410268487989,16.865384615384617,4.075993314303641,4.075993314303641,C2H2 ZF,5.689970903536387e-112,2.293058274125164e-109,GOF
ZNF148,0,13,0.0,0.15308525671219972,0.07142857142857142,-3.807354922057604,3.807354922057604,C2H2 ZF,0.0052173913043478265,1.0,Neutral
PLAGL1,85,1048,1.0009420631182289,12.341026848798869,0.08110687022900763,-3.6240320653997484,3.6240320653997484,C2H2 ZF,4.947730765953722e-120,1.9939354986793498e-117,LOF
KLF1,59,713,0.6947715496938295,8.39613754121526,0.08274894810659186,-3.595115217082047,3.595115217082047,C2H2 ZF,2.431165941948917e-81,9.797598746054136e-79,LOF
TFAP2D,12,145,0.1413094677343382,1.7074894017899198,0.08275862068965517,-3.5949465892937784,3.5949465892937784,AP-2,1.2514836361540626e-17,5.043479053700872e-15,LOF
ARID5B,76,7,0.8949599623174753,0.08243052284503062,10.857142857142858,3.4405725913859815,3.4405725913859815,ARID/BRIGHT,2.043618277071767e-09,8.235781656599221e-07,GOF
DMRTA2,423,44,4.981158737635422,0.5181347150259067,9.613636363636363,3.2650822344826524,3.2650822344826524,DM,1.536199545165924e-44,6.190884167018673e-42,GOF
ZSCAN29,338,37,3.9802166745171927,0.43570419218087614,9.135135135135135,3.1914260706532347,3.1914260706532347,C2H2 ZF,4.788212984666763e-35,1.9296498328207057e-32,GOF
FOXP1,121,14,1.4248704663212435,0.16486104569006124,8.642857142857142,3.1115083152169905,3.1115083152169905,Forkhead,4.902218814990404e-13,1.9755941824411328e-10,GOF
HMGA2,33,4,0.38860103626943004,0.047103155911446065,8.25,3.0443941193584534,3.0443941193584534,AT hook,0.0003151103329363115,0.12698946417333354,Neutral
BCL6,374,46,4.404145077720207,0.5416862929816297,8.130434782608695,3.023332503830624,3.023332503830624,C2H2 ZF,2.643079548750389e-36,1.0651610581464067e-33,GOF
DNMT3A,2047,255,24.105040037682524,3.002826189354687,8.027450980392157,3.0049419501645525,3.0049419501645525,GATA,3.1746432375462895e-191,1.2793812247311547e-188,GOF
RUNX3,5,40,0.05887894488930758,0.47103155911446065,0.125,-3.0,3.0,Runt,7.283857241545974e-05,0.029353944683430274,LOF
ARID3B,204,26,2.4022609514837496,0.30617051342439944,7.846153846153846,2.9719856238304034,2.9719856238304034,ARID/BRIGHT,5.662356976912082e-20,2.2819298616955693e-17,GOF
HMGB3,895,115,10.539331135186057,1.3542157324540745,7.782608695652174,2.9602538212072433,2.9602538212072433,HMG/Sox,4.652455196964545e-83,1.8749394443767117e-80,GOF
EGR2,87,660,1.024493641073952,7.772020725388601,0.1318181818181818,-2.9233787183970876,2.9233787183970876,C2H2 ZF,6.163753863312795e-61,2.4839928069150565e-58,LOF
AHCTF1,1435,192,16.898257183231276,2.260951483749411,7.473958333333333,2.901872520841894,2.901872520841894,AT hook,1.7282889435705288e-129,6.965004442589231e-127,GOF
TBP,1795,241,21.13754121526142,2.8379651436646256,7.448132780082988,2.896878792480452,2.896878792480452,TBP,4.8230638696884866e-161,1.94369473948446e-158,GOF
PAX6,1041,140,12.258596325953839,1.6486104569006124,7.435714285714286,2.8944713363544508,2.8944713363544508,Homeodomain; Paired box,4.007600824631473e-94,1.6150631323264837e-91,GOF
