Signature,n_mutation,n_pos_TF,n_nochange,n_neg_TF
SBS1,257943,217,19,167
SBS2,414103,222,24,157
SBS3,497498,234,11,158
SBS5,462159,181,11,211
SBS6,116516,236,20,147
SBS8,175462,281,18,104
SBS13,532127,259,16,128
SBS17,25874,194,34,175
SBS18,18528,243,42,118
SBS20,10175,270,48,85
SBS26,118098,166,24,213
SBS30,8492,194,46,163
