TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
ZBTB8A,17,2567,0.006590603350352597,0.9951811059032422,0.006622516556291391,-7.2384047393250786,7.2384047393250786,C2H2 ZF,0.0,0.0,LOF
SP1,6,779,0.002326095300124446,0.30200470646615724,0.007702182284980745,-7.020517017340513,7.020517017340513,C2H2 ZF,5.1573372603302485e-136,2.07840691591309e-133,LOF
ZBTB26,1,126,0.000387682550020741,0.04884800130261337,0.007936507936507936,-6.977279923499917,6.977279923499917,C2H2 ZF,9.801294749082733e-23,3.949921783880341e-20,LOF
TFDP2,12,1026,0.004652190600248892,0.3977622963212803,0.011695906432748537,-6.417852514885898,6.417852514885898,E2F,5.111981465616138e-173,2.0601285306433038e-170,LOF
SP4,14,1051,0.005427555700290374,0.4074543600717988,0.013320647002854425,-6.230192031904574,6.230192031904574,C2H2 ZF,2.5671534455047283e-175,1.0345628385384056e-172,LOF
ZNF777,1,57,0.000387682550020741,0.022097905351182237,0.017543859649122806,-5.832890014164742,5.832890014164742,C2H2 ZF,6.715744640463385e-10,2.706445090106744e-07,LOF
MTF2,357,19647,0.13840267035740456,7.616799060257499,0.01817071308596732,-5.782241152404004,5.782241152404004,C2H2 ZF,0.0,0.0,LOF
DNMT1,1409,71002,0.5462447129792241,27.526236416572655,0.019844511422213457,-5.655116146581685,5.655116146581685,CxxC,0.0,0.0,LOF
E2F6,23,998,0.008916698650477043,0.38690718492069953,0.023046092184368736,-5.439334049280248,5.439334049280248,E2F,7.015442918434935e-156,2.8272234961292786e-153,LOF
KMT2A,3299,141651,1.2789647325184246,54.91562089298799,0.023289634383096485,-5.424168198479869,5.424168198479869,CxxC; AT hook,0.0,0.0,LOF
ZNF687,11,467,0.004264508050228151,0.18104775085968605,0.023554603854389723,-5.407847121072365,5.407847121072365,C2H2 ZF,3.496276348024102e-73,1.408999368253713e-70,LOF
TFDP1,10,421,0.00387682550020741,0.16321435355873196,0.023752969121140142,-5.3957483281790335,5.3957483281790335,E2F,3.226919670718013e-66,1.3004486272993592e-63,LOF
NR2C1,2,84,0.000775365100041482,0.03256533420174224,0.023809523809523808,-5.392317422778761,5.392317422778761,Nuclear receptor,8.382240394146455e-14,3.378042878841021e-11,LOF
PHF1,630,25542,0.24424000651306685,9.902187692629767,0.02466525722339676,-5.341375857115585,5.341375857115585,CxxC,0.0,0.0,LOF
FBXL19,4186,167852,1.622839154386822,65.07329138608142,0.02493863641779663,-5.325473605403587,5.325473605403587,CxxC,0.0,0.0,LOF
TET1,2836,107538,1.0994677118588214,41.69060606413045,0.026372073127638604,-5.244845202819418,5.244845202819418,CxxC,0.0,0.0,LOF
KDM2B,2720,99089,1.0544965360564156,38.415076199005206,0.02745007013896598,-5.18704635424155,5.18704635424155,CxxC,0.0,0.0,LOF
HOXA3,31,1105,0.012018159050642971,0.42838921777291883,0.028054298642533938,-5.1556343438919185,5.1556343438919185,Homeodomain,6.744747068047461e-167,2.718133068423127e-164,LOF
E2F8,5,176,0.001938412750103705,0.06823212880365041,0.028409090909090908,-5.137503523749935,5.137503523749935,E2F,1.3920448503271732e-27,5.609940746818508e-25,LOF
GABPA,59,1955,0.02287327045122372,0.7579193852905487,0.03017902813299233,-5.050309842832873,5.050309842832873,Ets,1.7119575395278546e-290,6.899188884297254e-288,LOF
ARID4B,40,1270,0.01550730200082964,0.4923568385263411,0.031496062992125984,-4.9886846867721655,4.9886846867721655,ARID/BRIGHT,1.090942090042425e-187,4.396496622870973e-185,LOF
ELF1,58,1688,0.022485587901202978,0.6544081444350108,0.034360189573459717,-4.863118193579613,4.863118193579613,Ets,7.536644461528536e-245,3.037267717996e-242,LOF
ZNF574,41,1180,0.01589498455085038,0.4574654090244744,0.03474576271186441,-4.8470191396311195,4.8470191396311195,C2H2 ZF,2.1306107258162944e-171,8.586361225039666e-169,LOF
ATF1,7,199,0.002713777850145187,0.07714882745412746,0.035175879396984924,-4.829269698486045,4.829269698486045,bZIP,1.1301989528843919e-29,4.5547017801240994e-27,LOF
ZBTB11,31,881,0.012018159050642971,0.34154832656827283,0.03518728717366629,-4.828801898533539,4.828801898533539,C2H2 ZF,8.492876703330309e-128,3.422629311442115e-125,LOF
ZBTB40,61,1704,0.0236486355512652,0.6606110652353427,0.0357981220657277,-4.803972282662952,4.803972282662952,C2H2 ZF,2.5631926225882028e-245,1.0329666269030458e-242,LOF
OVOL1,42,1136,0.01628266710087112,0.4404073768235618,0.03697183098591549,-4.7574296967259215,4.7574296967259215,C2H2 ZF,9.602109522176495e-163,3.8696501374371276e-160,LOF
GABPB1,102,2723,0.03954362010211558,1.0556595837064777,0.0374586852735953,-4.7385559250723,4.7385559250723,Ets,0.0,0.0,LOF
ARID4A,18,474,0.006978285900373338,0.18376152870983123,0.0379746835443038,-4.718818247455947,4.718818247455947,ARID/BRIGHT,3.2389446426314716e-68,1.305294690980483e-65,LOF
ZBTB14,0,25,0.0,0.009692063750518525,0.038461538461538464,-4.700439718141092,4.700439718141092,C2H2 ZF,2.930898044401381e-05,0.011811519118937566,LOF
