TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
DBX2,2146,1,21.09090909090909,0.009828009828009828,2146.0,11.067434360756522,11.067434360756522,Homeodomain,0.0,0.0,GOF
TBPL2,1552,1,15.253071253071253,0.009828009828009828,1552.0,10.599912842187127,10.599912842187127,TBP,6.622403847231663e-289,2.66882875043436e-286,GOF
ZFHX3,836,1,8.216216216216216,0.009828009828009828,836.0,9.707359132080883,9.707359132080883,C2H2 ZF; Homeodomain,5.468003037715297e-155,2.2036052241992644e-152,GOF
AHCTF1,819,0,8.04914004914005,0.0,820.0,9.679480099505446,9.679480099505446,AT hook,4.606049797417197e-154,1.8562380683591304e-151,GOF
ARID5A,599,1,5.886977886977887,0.009828009828009828,599.0,9.226412192788786,9.226412192788786,ARID/BRIGHT,1.7674961220629098e-110,7.123009371913526e-108,GOF
DBX1,557,1,5.474201474201474,0.009828009828009828,557.0,9.121533517340032,9.121533517340032,Homeodomain,1.2221953910212818e-102,4.925447425815766e-100,GOF
HLX,1295,3,12.727272727272727,0.029484029484029485,431.6666666666667,8.75377388185276,8.75377388185276,Homeodomain,1.8548907091504499e-236,7.475209557876312e-234,GOF
POU6F2,774,2,7.606879606879607,0.019656019656019656,387.0,8.59618975614441,8.59618975614441,Homeodomain; POU,3.083757067340586e-141,1.242754098138256e-138,GOF
ARID3C,1676,5,16.471744471744472,0.04914004914004914,335.2,8.38887833881199,8.38887833881199,ARID/BRIGHT,6.172325703746065e-304,2.487447258609664e-301,GOF
POU5F1,984,3,9.67076167076167,0.029484029484029485,328.0,8.357552004618084,8.357552004618084,Homeodomain; POU,9.122087801071464e-179,3.6762013838318e-176,GOF
POU3F4,1120,4,11.007371007371008,0.03931203931203931,280.0,8.129283016944967,8.129283016944967,Homeodomain; POU,4.625824370662008e-202,1.8642072213767892e-199,GOF
POU4F3,2346,10,23.056511056511056,0.09828009828009827,234.6,7.8740592031411465,7.8740592031411465,Homeodomain; POU,0.0,0.0,GOF
LIN54,921,4,9.051597051597051,0.03931203931203931,230.25,7.8470573460913355,7.8470573460913355,TCR/CxC,2.4362669395429414e-165,9.818155766358054e-163,GOF
RETN,2751,12,27.036855036855037,0.11793611793611794,229.25,7.840777923595055,7.840777923595055,Unknown,0.0,0.0,GOF
HOXD13,1897,9,18.643734643734643,0.08845208845208845,210.77777777777777,7.719578961969163,7.719578961969163,Homeodomain,0.0,0.0,GOF
HOXA2,683,4,6.712530712530713,0.03931203931203931,170.75,7.415741768290091,7.415741768290091,Homeodomain,3.0029010335004203e-121,1.2101691165006693e-118,GOF
POU6F1,978,6,9.611793611793612,0.05896805896805897,163.0,7.348728154231077,7.348728154231077,Homeodomain; POU,1.722995420453314e-172,6.943671544426855e-170,GOF
TBP,2329,17,22.889434889434888,0.16707616707616707,137.0,7.098032082960526,7.098032082960526,TBP,0.0,0.0,GOF
HOXC6,531,4,5.218673218673219,0.03931203931203931,132.75,7.052568050804154,7.052568050804154,Homeodomain,3.4200935271561408e-93,1.3782976914439247e-90,GOF
HOXB7,909,7,8.933660933660933,0.0687960687960688,129.85714285714286,7.020781562136503,7.020781562136503,Homeodomain,2.758195779696312e-158,1.1115528992176136e-155,GOF
PBX4,1338,11,13.14987714987715,0.10810810810810811,121.63636363636364,6.9264307820041635,6.9264307820041635,Homeodomain,9.167367998665566e-232,3.694449303462223e-229,GOF
VENTX,1456,12,14.309582309582309,0.11793611793611794,121.33333333333333,6.92283213947754,6.92283213947754,Homeodomain,8.162371791276571e-252,3.289435831884458e-249,GOF
TLX2,1259,11,12.373464373464374,0.10810810810810811,114.45454545454545,6.838630949081719,6.838630949081719,Homeodomain,5.193736303858435e-217,2.0930757304549493e-214,GOF
HOXB13,980,9,9.631449631449632,0.08845208845208845,108.88888888888889,6.766712937560258,6.766712937560258,Homeodomain,8.913414974400989e-169,3.592106234683599e-166,GOF
DNMT3A,1707,16,16.776412776412776,0.15724815724815724,106.6875,6.737247343027738,6.737247343027738,GATA,1.3797132533166247e-292,5.560244410865997e-290,GOF
IRX4,1793,17,17.62162162162162,0.16707616707616707,105.47058823529412,6.720696931618035,6.720696931618035,Homeodomain,9.224517331883554e-307,3.717480484749072e-304,GOF
HMGB3,2734,26,26.86977886977887,0.25552825552825553,105.15384615384616,6.716357809464968,6.716357809464968,HMG/Sox,0.0,0.0,GOF
SOX1,1821,18,17.896805896805898,0.1769041769041769,101.16666666666667,6.660590205534526,6.660590205534526,HMG/Sox,8.9749065584804e-311,3.6168873430676145e-308,GOF
TBX10,96,1,0.9434889434889435,0.009828009828009828,96.0,6.584962500721156,6.584962500721156,T-box,3.169676056569779e-17,1.277379450797621e-14,GOF
HOXC4,1868,20,18.35872235872236,0.19656019656019655,93.4,6.5453506448223,6.5453506448223,Homeodomain,1.73772107e-316,7.0030159084e-314,GOF
PAX3,3380,38,33.21867321867322,0.37346437346437344,88.94736842105263,6.474880017725961,6.474880017725961,Homeodomain; Paired box,0.0,0.0,GOF
ARID3B,1509,17,14.83046683046683,0.16707616707616707,88.76470588235294,6.4719142492763435,6.4719142492763435,ARID/BRIGHT,8.728522536958534e-255,3.517594582394289e-252,GOF
HDX,609,7,5.985257985257985,0.0687960687960688,87.0,6.442943495848728,6.442943495848728,Homeodomain,2.948544088655651e-103,1.1882632677282272e-100,GOF
LOC100168299,1259,15,12.373464373464374,0.14742014742014742,83.93333333333334,6.391171972110498,6.391171972110498,Unknown,1.0225599701190137e-211,4.120916679579625e-209,GOF
MXI1,81,1,0.7960687960687961,0.009828009828009828,81.0,6.339850002884624,6.339850002884624,bHLH,2.9753695319713325e-14,1.199073921384447e-11,GOF
POU3F2,1132,14,11.125307125307126,0.1375921375921376,80.85714285714286,6.337303320774279,6.337303320774279,Homeodomain; POU,7.953784182869148e-190,3.2053750256962665e-187,GOF
DUXA,385,5,3.7837837837837838,0.04914004914004914,77.0,6.266786540694901,6.266786540694901,Homeodomain,6.688862871421177e-65,2.6956117371827343e-62,GOF
CREB3L2,744,10,7.312039312039312,0.09828009828009827,74.4,6.217230716220669,6.217230716220669,bZIP,3.854649773451091e-124,1.5534238587007897e-121,GOF
DMRT2,297,4,2.918918918918919,0.03931203931203931,74.25,6.2143191208007655,6.2143191208007655,DM,2.5434575683483133e-50,1.0250134000443703e-47,GOF
HHEX,2206,32,21.68058968058968,0.3144963144963145,68.9375,6.107217075591382,6.107217075591382,Homeodomain,0.0,0.0,GOF
SEBOX,67,0,0.6584766584766585,0.0,68.0,6.087462841250339,6.087462841250339,Homeodomain,3.93370812949482e-13,1.5852843761864126e-10,GOF
FOXC1,1205,18,11.842751842751843,0.1769041769041769,66.94444444444444,6.0648924296750115,6.0648924296750115,Forkhead,1.7640473497184235e-198,7.109110819365247e-196,GOF
DMRTA2,2083,32,20.471744471744472,0.3144963144963145,65.09375,6.0244471240406465,6.0244471240406465,DM,0.0,0.0,GOF
ARID5B,192,3,1.886977886977887,0.029484029484029485,64.0,6.0,6.0,ARID/BRIGHT,2.0244424438713535e-32,8.158503048801555e-30,GOF
LHX9,1083,17,10.643734643734645,0.16707616707616707,63.705882352941174,5.993354686357987,5.993354686357987,Homeodomain,2.454859749578205e-177,9.893084790800167e-175,GOF
NOBOX,1951,31,19.174447174447174,0.3046683046683047,62.935483870967744,5.975801752222151,5.975801752222151,Homeodomain,4.34923e-318,1.752739785e-315,GOF
POU5F1B,309,5,3.036855036855037,0.04914004914004914,61.8,5.949534933017012,5.949534933017012,Homeodomain; POU,4.036986258312808e-51,1.6269054621000616e-48,GOF
PROP1,3440,57,33.80835380835381,0.5601965601965602,60.35087719298246,5.915302835424718,5.915302835424718,Homeodomain,0.0,0.0,GOF
ZBTB44,468,8,4.599508599508599,0.07862407862407862,58.5,5.870364719583405,5.870364719583405,C2H2 ZF,1.757416830566582e-76,7.082389827183325e-74,GOF
LHX2,517,9,5.081081081081081,0.08845208845208845,57.44444444444444,5.844095468872622,5.844095468872622,Homeodomain,3.29891864704376e-84,1.3294642147586352e-81,GOF
HOXC5,571,10,5.611793611793612,0.09828009828009827,57.1,5.83541884047548,5.83541884047548,Homeodomain,4.619856738633316e-93,1.8618022656692263e-90,GOF
MNT,113,2,1.1105651105651106,0.019656019656019656,56.5,5.820178962415188,5.820178962415188,bHLH,3.186834166850602e-19,1.2842941692407926e-16,GOF
SOX3,2314,42,22.742014742014742,0.41277641277641275,55.095238095238095,5.78385572632873,5.78385572632873,HMG/Sox,0.0,0.0,GOF
FOXP1,764,14,7.5085995085995085,0.1375921375921376,54.57142857142857,5.770073905978145,5.770073905978145,Forkhead,3.514205440408153e-123,1.4162247924844856e-120,GOF
DMRT1,1405,26,13.808353808353809,0.25552825552825553,54.03846153846154,5.755914696967197,5.755914696967197,DM,1.5890267031179698e-225,6.403777613565418e-223,GOF
PAX6,3720,69,36.56019656019656,0.6781326781326781,53.91304347826087,5.7525624492172245,5.7525624492172245,Homeodomain; Paired box,0.0,0.0,GOF
FOXB1,106,2,1.0417690417690417,0.019656019656019656,53.0,5.727920454563199,5.727920454563199,Forkhead,9.787568202990014e-18,3.944389985804975e-15,GOF
MYRF,371,7,3.6461916461916464,0.0687960687960688,53.0,5.727920454563199,5.727920454563199,Ndt80/PhoG,4.096968518448433e-60,1.6510783129347184e-57,GOF
FOXK1,1263,24,12.412776412776413,0.23587223587223588,52.625,5.717676423066396,5.717676423066396,Forkhead,3.389372924270261e-202,1.3659172884809152e-199,GOF
CREBZF,678,13,6.663390663390663,0.12776412776412777,52.15384615384615,5.704701744995251,5.704701744995251,bZIP,4.82423960794295e-109,1.9441685620010087e-106,GOF
HLF,51,0,0.5012285012285013,0.0,52.0,5.700439718141092,5.700439718141092,bZIP,3.922197707369432e-10,1.580645676069881e-07,GOF
E4F1,50,0,0.4914004914004914,0.0,51.0,5.672425341971495,5.672425341971495,C2H2 ZF,1.0424788643271383e-09,4.2011898232383673e-07,GOF
FOXP4,900,18,8.845208845208845,0.1769041769041769,50.0,5.643856189774724,5.643856189774724,Forkhead,2.6857152300429207e-143,1.0823432377072971e-140,GOF
XBP1,520,11,5.11056511056511,0.10810810810810811,47.27272727272727,5.562936194391157,5.562936194391157,bZIP,7.511065325739464e-83,3.026959326273004e-80,GOF
ZSCAN29,1114,24,10.948402948402949,0.23587223587223588,46.416666666666664,5.5365710166188755,5.5365710166188755,C2H2 ZF,2.64295772610698e-175,1.065111963621113e-172,GOF
ZFHX2,1287,29,12.64864864864865,0.28501228501228504,44.37931034482759,5.471815343093129,5.471815343093129,Homeodomain,4.8186423533340096e-201,1.941912868393606e-198,GOF
FOXS1,484,11,4.756756756756757,0.10810810810810811,44.0,5.459431618637297,5.459431618637297,Forkhead,1.9726579727180314e-76,7.949811630053666e-74,GOF
ARX,2185,50,21.474201474201475,0.4914004914004914,43.7,5.4495613746132365,5.4495613746132365,Homeodomain,0.0,0.0,GOF
CEBPG,43,1,0.4226044226044226,0.009828009828009828,43.0,5.426264754702098,5.426264754702098,bZIP,2.1747546563463597e-07,8.764261265075829e-05,GOF
FOXG1,1283,30,12.609336609336609,0.29484029484029484,42.766666666666666,5.418414859481164,5.418414859481164,Forkhead,1.4858951589019062e-199,5.988157490374682e-197,GOF
MSX2,1651,39,16.226044226044227,0.3832923832923833,42.333333333333336,5.403722186051009,5.403722186051009,Homeodomain,9.560436789708233e-256,3.852856026252418e-253,GOF
