TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
MYC,95,1,0.3671639483651542,0.003864883667001623,95.0,6.569855608330948,6.569855608330948,bHLH,8.243228584848074e-17,3.322021119693774e-14,GOF
CREM,319,4,1.2328978897735179,0.015459534668006493,79.75,6.317412613764869,6.317412613764869,bZIP,2.5254960541368951e-54,1.0177749098171687e-51,GOF
BHLHE40,398,5,1.538223699466646,0.019324418335008118,79.6,6.314696525656286,6.314696525656286,bHLH,1.6897787407383605e-67,6.809808325175593e-65,GOF
E2F1,137,2,0.5294890623792223,0.007729767334003246,68.5,6.098032082960526,6.098032082960526,E2F,1.4575664395608772e-23,5.873992751430335e-21,GOF
USF2,172,3,0.6647599907242792,0.011594651001004869,57.333333333333336,5.841302253980942,5.841302253980942,bHLH,8.278638698668472e-29,3.336291395563394e-26,GOF
ZNF687,48,0,0.1855144160160779,0.0,49.0,5.614709844115208,5.614709844115208,C2H2 ZF,2.4709180634662495e-09,9.957799795768986e-07,GOF
ATF1,48,1,0.1855144160160779,0.003864883667001623,48.0,5.584962500721156,5.584962500721156,bZIP,1.653222498133604e-08,6.662486667478424e-06,GOF
MNT,95,2,0.3671639483651542,0.007729767334003246,47.5,5.569855608330948,5.569855608330948,bHLH,5.44336963943817e-16,2.1936779646935822e-13,GOF
MGA,37,0,0.14300069567906007,0.0,38.0,5.247927513443585,5.247927513443585,T-box,1.6502741580655508e-07,6.65060485700417e-05,GOF
KDM2A,3119,83,12.054572157378063,0.3207853443611347,37.57831325301205,5.231828406027227,5.231828406027227,CxxC,0.0,0.0,GOF
ZHX1,2773,78,10.717322408595502,0.3014609260261266,35.55128205128205,5.1518296821772305,5.1518296821772305,Homeodomain,0.0,0.0,GOF
HOXA3,132,4,0.5101646440442142,0.015459534668006493,33.0,5.044394119358453,5.044394119358453,Homeodomain,1.6435785221959716e-20,6.623621444449766e-18,GOF
MXI1,126,4,0.48697534204220455,0.015459534668006493,31.5,4.977279923499917,4.977279923499917,bHLH,1.8406475090007933e-19,7.417809461273198e-17,GOF
CENPBD1,2812,90,10.868052871608565,0.3478395300301461,31.244444444444444,4.9655277827428606,4.9655277827428606,CENPB,0.0,0.0,GOF
HEYL,2527,86,9.766561026513102,0.3323799953621396,29.38372093023256,4.876945194242677,4.876945194242677,bHLH,0.0,0.0,GOF
TFE3,225,8,0.8695988250753652,0.030919069336012985,28.125,4.813781191217037,4.813781191217037,bHLH,1.4091641812248324e-33,5.6789316503360745e-31,GOF
XBP1,3221,117,12.448790291412228,0.45219138903918993,27.52991452991453,4.78292822579941,4.78292822579941,bZIP,0.0,0.0,GOF
DNAJC21,1354,51,5.233052485120198,0.19710906701708278,26.54901960784314,4.730586681603501,4.730586681603501,Myb/SANT,3.5752627947163295e-193,1.4408309062706808e-190,GOF
GMEB1,8043,335,31.085259333694054,1.2947360284455438,24.008955223880598,4.585500719358583,4.585500719358583,SAND,0.0,0.0,GOF
TET1,10724,495,41.447012444925406,1.9131174151658035,21.664646464646463,4.437270789015589,4.437270789015589,CxxC,0.0,0.0,GOF
NAIF1,5672,275,21.921620159233207,1.0628430084254463,20.625454545454545,4.366354008827494,4.366354008827494,MADF,0.0,0.0,GOF
KDM2B,9870,486,38.14640179330602,1.878333462162789,20.308641975308642,4.344021865737979,4.344021865737979,CxxC,0.0,0.0,GOF
AHDC1,20,1,0.07729767334003247,0.003864883667001623,20.0,4.321928094887363,4.321928094887363,AT hook,0.0013928168924235013,0.561305207646671,Neutral
TIGD6,2563,131,9.905696838525161,0.5062997603772127,19.564885496183205,4.290194761754127,4.290194761754127,CENPB,0.0,0.0,GOF
HMG20A,37,2,0.14300069567906007,0.007729767334003246,18.5,4.20945336562895,4.20945336562895,HMG/Sox,7.5588557436340624e-06,0.003046218864684527,GOF
KMT2A,11600,644,44.83265053721883,2.4889850815490453,18.012422360248447,4.170920306787679,4.170920306787679,CxxC; AT hook,0.0,0.0,GOF
HES4,1049,59,4.0542629666847025,0.22802813635309577,17.779661016949152,4.152155913215426,4.152155913215426,bHLH,1.6278654199365104e-135,6.560297642344137e-133,GOF
FBXL19,12274,782,47.437582128777926,3.0223390275952693,15.695652173913043,3.9722930708301583,3.9722930708301583,CxxC,0.0,0.0,GOF
CREBZF,2136,140,8.255391512715468,0.5410837133802272,15.257142857142858,3.9314129147425874,3.9314129147425874,bZIP,8.617995337195243e-262,3.473052120889683e-259,GOF
SOHLH2,1062,73,4.1045064543557235,0.2821365076911185,14.547945205479452,3.8627434919241366,3.8627434919241366,bHLH,4.774567217470922e-129,1.9241505886407818e-126,GOF
MLX,2739,193,10.585916363917447,0.7459225477313133,14.191709844559586,3.8269765134372977,3.8269765134372977,bHLH,0.0,0.0,GOF
KLF1,4615,327,17.836438123212492,1.2638169591095307,14.113149847094801,3.818968107035054,3.818968107035054,C2H2 ZF,0.0,0.0,GOF
ZBTB11,13,1,0.0502434876710211,0.003864883667001623,13.0,3.700439718141092,3.700439718141092,C2H2 ZF,0.03285024154589372,1.0,Neutral
MAX,2928,232,11.316379376980754,0.8966530107443766,12.620689655172415,3.6577188431564704,3.6577188431564704,bHLH,0.0,0.0,GOF
MYC-MAX,3000,243,11.59465100100487,0.9391667310813945,12.345679012345679,3.6259342817774622,3.6259342817774622,bHLH,0.0,0.0,GOF
KLF9,12,1,0.046378604004019476,0.003864883667001623,12.0,3.584962500721156,3.584962500721156,C2H2 ZF,0.030205949656750566,1.0,Neutral
ZNF680,0,11,0.0,0.042513720337017856,0.08333333333333333,-3.584962500721156,3.584962500721156,C2H2 ZF,0.01238390092879257,1.0,Neutral
MITF,994,84,3.8416943649996136,0.32465022802813637,11.833333333333334,3.564784618783526,3.564784618783526,bHLH,6.170483825595015e-112,2.4867049817147912e-109,GOF
KLF11,2465,211,9.526938239159001,0.8154904537373425,11.682464454976303,3.546272742558089,3.546272742558089,C2H2 ZF,5.662466545848303e-274,2.281974017976866e-271,GOF
MXD1-MAX,2306,208,8.912421736105744,0.8038958027363377,11.086538461538462,3.4707370795106796,3.4707370795106796,bHLH,5.819445267800514e-251,2.345236442923607e-248,GOF
USF1,1783,173,6.891087578263894,0.6686248743912808,10.306358381502891,3.3654627599882705,3.3654627599882705,bHLH,2.1004098796723394e-188,8.464651815079528e-186,GOF
CREB3L2,717,76,2.7711215892401637,0.29373115869212335,9.43421052631579,3.237901795258319,3.237901795258319,bZIP,8.159910857743776e-74,3.2884440756707417e-71,GOF
SETBP1,233,2071,0.9005178944113782,8.004174074360362,0.11250603573153066,-3.1519256935662314,3.1519256935662314,AT hook,6.325515408180815e-204,2.5491827094968684e-201,LOF
ZFP91,15,133,0.05797325500502435,0.5140295277112159,0.11278195488721804,-3.148391839892671,3.148391839892671,C2H2 ZF,3.4219469686855503e-14,1.3790446283802767e-11,LOF
TBPL2,715,6190,2.763391821906161,23.92362989874005,0.11550888529886914,-3.113924262435875,3.113924262435875,TBP,0.0,0.0,LOF
E2F6,51,6,0.19710906701708278,0.023189302002009738,8.5,3.0874628412503395,3.0874628412503395,E2F,4.429747789150427e-06,0.001785188359027622,GOF
ZNF549,7,0,0.02705418566901136,0.0,8.0,3.0,3.0,C2H2 ZF,0.06993006993006994,1.0,Neutral
OVOL1,79,10,0.3053258096931282,0.038648836670016236,7.9,2.9818526532897405,2.9818526532897405,C2H2 ZF,1.4792791353580108e-08,5.961494915492783e-06,GOF
