TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
BHLHE40,330,1,1.762632197414806,0.005341309689135776,330.0,8.366322214245816,8.366322214245816,bHLH,1.4686457259322978e-60,5.91864227550716e-58,GOF
KMT2A,9494,31,50.71039418865506,0.16558060036320907,306.258064516129,8.258604024042556,8.258604024042556,CxxC; AT hook,0.0,0.0,GOF
CREM,268,0,1.431470996688388,0.0,269.0,8.071462362556623,8.071462362556623,bZIP,1.4574409715445198e-50,5.873487115324414e-48,GOF
TET1,8829,37,47.158423245379765,0.1976284584980237,238.6216216216216,7.898580962032601,7.898580962032601,CxxC,0.0,0.0,GOF
KDM2B,8091,34,43.21653669479756,0.1816045294306164,237.97058823529412,7.89463946570642,7.89463946570642,CxxC,0.0,0.0,GOF
FBXL19,10024,56,53.54128832389702,0.29911334259160344,179.0,7.483815777264256,7.483815777264256,CxxC,0.0,0.0,GOF
DNAJC21,1137,9,6.073069116547377,0.04807178720222199,126.33333333333333,6.981091537449935,6.981091537449935,Myb/SANT,2.1426980770891727e-197,8.635073250669366e-195,GOF
E2F1,117,0,0.6249332336288858,0.0,118.0,6.882643049361842,6.882643049361842,E2F,1.6754350565718036e-22,6.752003277984368e-20,GOF
HOXA3,112,0,0.5982266851832069,0.0,113.0,6.820178962415188,6.820178962415188,Homeodomain,2.5066782979120214e-21,1.0101913540585446e-18,GOF
MXI1,103,1,0.5501548979809849,0.005341309689135776,103.0,6.6865005271832185,6.6865005271832185,bHLH,2.8223134857646975e-18,1.137392334763173e-15,GOF
ZHX1,2267,23,12.108749065270805,0.12285012285012285,98.56521739130434,6.623006719683773,6.623006719683773,Homeodomain,0.0,0.0,GOF
GMEB1,6604,70,35.27400918705266,0.3738916782395043,94.34285714285714,6.559841387968292,6.559841387968292,SAND,0.0,0.0,GOF
DNMT1,918,10,4.903322294626642,0.05341309689135776,91.8,6.520422248526446,6.520422248526446,CxxC,7.372192832314786e-156,2.9709937114228586e-153,GOF
MYC,81,0,0.4326460848199979,0.0,82.0,6.357552004618084,6.357552004618084,bHLH,9.353620708029453e-16,3.76950914533587e-13,GOF
KDM2A,2538,31,13.5562439910266,0.16558060036320907,81.87096774193549,6.355280043454231,6.355280043454231,CxxC,0.0,0.0,GOF
USF2,140,2,0.7477833564790086,0.010682619378271552,70.0,6.129283016944966,6.129283016944966,bHLH,7.069727958749037e-24,2.849100367375862e-21,GOF
CENPBD1,2330,34,12.445251575686358,0.1816045294306164,68.52941176470588,6.098651398291303,6.098651398291303,CENPB,0.0,0.0,GOF
PHF1,270,4,1.4421536160666595,0.021365238756543104,67.5,6.076815597050831,6.076815597050831,CxxC,3.4356003572959394e-45,1.3845469439902636e-42,GOF
NAIF1,4633,70,24.74628778976605,0.3738916782395043,66.18571428571428,6.048447950088305,6.048447950088305,MADF,0.0,0.0,GOF
KLF1,3708,58,19.805576327315457,0.309795961969875,63.93103448275862,5.998444533497959,5.998444533497959,C2H2 ZF,0.0,0.0,GOF
