TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
E2F8,12,1,0.009269988412514484,0.000772499034376207,12.0,3.584962500721156,3.584962500721156,E2F,0.030205949656750566,1.0,Neutral
ARID4A,67,8,0.05175743530320587,0.006179992275009656,8.375,3.0660891904577725,3.0660891904577725,ARID/BRIGHT,1.2948564982864748e-07,5.2182716880944936e-05,GOF
ZNF865,9,73,0.006952491309385863,0.05639242950946311,0.1232876712328767,-3.019899557437705,3.019899557437705,C2H2 ZF,6.629789240270946e-08,2.6718050638291914e-05,LOF
TFDP1,55,7,0.04248744689069139,0.005407493240633449,7.857142857142857,2.9740047914670553,2.9740047914670553,E2F,4.3659299347690106e-06,0.0017594697637119113,GOF
ZBTB2,107,17,0.08265739667825416,0.01313248358439552,6.294117647058823,2.6540041451508074,2.6540041451508074,C2H2 ZF,9.109681525109051e-10,3.671201654618948e-07,GOF
ZHX2,5,0,0.003862495171881035,0.0,6.0,2.584962500721156,2.584962500721156,Homeodomain,0.16666666666666666,1.0,Neutral
NR2C1,6,1,0.004634994206257242,0.000772499034376207,6.0,2.584962500721156,2.584962500721156,Nuclear receptor,0.26573426573426573,1.0,Neutral
PHF1,2739,475,2.1158748551564313,0.36693704132869837,5.766315789473684,2.527649847487068,2.527649847487068,CxxC,7.36984619706901e-208,2.970048017418811e-205,GOF
DNMT1,8235,1459,6.361529548088065,1.127076091154886,5.644276901987663,2.4967887666958264,2.4967887666958264,CxxC,0.0,0.0,GOF
GABPA,236,46,0.18230977211278485,0.035534955581305525,5.130434782608695,2.3590810933048285,2.3590810933048285,Ets,1.215946167204229e-17,4.900263053833043e-15,GOF
HOXA3,201,40,0.1552723059096176,0.03089996137504828,5.025,2.3291235962915664,2.3291235962915664,Homeodomain,4.021261170453702e-15,1.6205682516928421e-12,GOF
