TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
ZHX2,0,0,,,1,0,0,Homeodomain,1.0,1.0,Neutral
ZNF507,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
OVOL1,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
EP300,0,0,,,1,0,0,Unknown,1.0,1.0,Neutral
ZNF629,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
NR2C2,0,0,,,1,0,0,Nuclear receptor,1.0,1.0,Neutral
AHDC1,0,0,,,1,0,0,AT hook,1.0,1.0,Neutral
ZFP3,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZNF865,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
NFYC,0,0,,,1,0,0,CBF/NF-Y,1.0,1.0,Neutral
MXI1,0,0,,,1,0,0,bHLH,1.0,1.0,Neutral
USF2,0,0,,,1,0,0,bHLH,1.0,1.0,Neutral
NFIB,0,0,,,1,0,0,SMAD,1.0,1.0,Neutral
HMGA2,0,0,,,1,0,0,AT hook,1.0,1.0,Neutral
SRF,0,0,,,1,0,0,MADS box,1.0,1.0,Neutral
E2F1,0,0,,,1,0,0,E2F,1.0,1.0,Neutral
CTCF,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
IRF4,0,0,,,1,0,0,IRF,1.0,1.0,Neutral
ZMYM3,0,0,,,1,0,0,MYM-type ZF,1.0,1.0,Neutral
IRF1,0,0,,,1,0,0,IRF,1.0,1.0,Neutral
TEAD1,0,0,,,1,0,0,TEA,1.0,1.0,Neutral
FOXA2,0,0,,,1,0,0,Forkhead,1.0,1.0,Neutral
HMG20A,0,0,,,1,0,0,HMG/Sox,1.0,1.0,Neutral
RFX3,0,0,,,1,0,0,RFX,1.0,1.0,Neutral
RFX1,0,0,,,1,0,0,RFX,1.0,1.0,Neutral
NFYA,0,0,,,1,0,0,CBF/NF-Y,1.0,1.0,Neutral
ZNF610,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZBTB26,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZNF134,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
NFIC,0,0,,,1,0,0,SMAD,1.0,1.0,Neutral
ZNF652,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZNF76,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZNF512,0,0,,,1,0,0,C2H2 ZF; BED ZF,1.0,1.0,Neutral
JUN,0,0,,,1,0,0,bZIP,1.0,1.0,Neutral
ZNF426,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZNF654,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZBTB2,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZNF8,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZFP91,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
GABPB1,0,0,,,1,0,0,Ets,1.0,1.0,Neutral
KLF9,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
ZNF549,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
TRIM22,0,0,,,1,0,0,Unknown,1.0,1.0,Neutral
YY1,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
MAZ,0,0,,,1,0,0,C2H2 ZF,1.0,1.0,Neutral
FOSL1,0,0,,,1,0,0,bZIP,1.0,1.0,Neutral
NFYB,0,0,,,1,0,0,CBF/NF-Y,1.0,1.0,Neutral
MNT,0,0,,,1,0,0,bHLH,1.0,1.0,Neutral
ARID4A,0,0,,,1,0,0,ARID/BRIGHT,1.0,1.0,Neutral
