TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
SP1,4,492,0.002846387578364608,0.3501056721388468,0.008130081300813009,-6.94251450533924,6.94251450533924,C2H2 ZF,8.850961333848926e-86,3.566937417541118e-83,LOF
ZBTB8A,14,1626,0.009962356524276128,1.157056550605213,0.008610086100861008,-6.859756620017424,6.859756620017424,C2H2 ZF,3.009093297097781e-280,1.2126645987304056e-277,LOF
ZBTB26,1,70,0.000711596894591152,0.04981178262138064,0.014285714285714285,-6.129283016944966,6.129283016944966,C2H2 ZF,1.758070960737588e-12,7.08502597177248e-10,LOF
DRAP1,1,58,0.000711596894591152,0.04127261988628682,0.017241379310344827,-5.857980995127572,5.857980995127572,Unknown,2.622499693564727e-10,1.056867376506585e-07,LOF
SP4,12,674,0.008539162735093824,0.47961630695443647,0.017804154302670624,-5.811642280460703,5.811642280460703,C2H2 ZF,3.5354714997666646e-109,1.424795014405966e-106,LOF
TFDP2,11,603,0.007827565840502673,0.42909292743846467,0.01824212271973466,-5.776582573262788,5.776582573262788,E2F,1.689988991074599e-97,6.810655634030633e-95,LOF
MTF2,240,11300,0.17078325470187647,8.041044908880018,0.021238938053097345,-5.5571445565813935,5.5571445565813935,C2H2 ZF,0.0,0.0,LOF
HOXA3,17,689,0.012097147208049584,0.49029026037330375,0.02467343976777939,-5.340897331453952,5.340897331453952,Homeodomain,1.0332163287654762e-106,4.163861804924869e-104,LOF
DNMT1,1050,40538,0.7471767393207096,28.84671491293612,0.025901623168385218,-5.270813680140736,5.270813680140736,CxxC,0.0,0.0,LOF
FBXL19,2791,99109,1.9860669328039053,70.52565662603449,0.028160913741436196,-5.150162043695406,5.150162043695406,CxxC,0.0,0.0,LOF
KMT2A,2355,81632,1.675810686762163,58.08907769926492,0.028848980791846335,-5.115335839102327,5.115335839102327,CxxC; AT hook,0.0,0.0,LOF
PHF1,418,13994,0.2974475019391015,9.958086942908581,0.029869944261826497,-5.065161644233873,5.065161644233873,CxxC,0.0,0.0,LOF
TET1,1986,66438,1.413231432658028,47.277074482846956,0.029892531382642463,-5.064071116159547,5.064071116159547,CxxC,0.0,0.0,LOF
E2F6,18,598,0.012808744102640737,0.4255349429655089,0.030100334448160536,-5.054076672755793,5.054076672755793,E2F,9.476338566646152e-90,3.8189644423583994e-87,LOF
