TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
FOXB1,4091,11,1.5724092338204432,0.004227939763389117,371.90909090909093,8.538806203250749,8.538806203250749,Forkhead,0.0,0.0,GOF
FOXB2,7090,24,2.7250993565844395,0.009224595847394436,295.4166666666667,8.206607411405722,8.206607411405722,Forkhead,0.0,0.0,GOF
ZNF652,295,1,0.11338565729088994,0.0003843581603081015,295.0,8.204571144249204,8.204571144249204,C2H2 ZF,8.217214339929652e-54,3.31153737899165e-51,GOF
ONECUT2,1,292,0.0003843581603081015,0.11223258280996563,0.003424657534246575,-8.189824558880018,8.189824558880018,CUT; Homeodomain,1.722697118258017e-53,6.942469386579809e-51,LOF
HOXB13,64589,226,24.825309216139967,0.08686494422963094,285.7920353982301,8.158821900989468,8.158821900989468,Homeodomain,0.0,0.0,GOF
JUND,3,723,0.0011530744809243045,0.27789094990275737,0.004149377593360996,-7.912889336229962,7.912889336229962,bZIP,5.156994781575444e-130,2.078268896974904e-127,LOF
TBP,102534,497,39.40977960903088,0.19102600567312644,206.30583501006035,7.688640815754479,7.688640815754479,TBP,0.0,0.0,GOF
FOXC2,15807,78,6.07554943999016,0.029979936504031916,202.65384615384616,7.6628737462323855,7.6628737462323855,Forkhead,0.0,0.0,GOF
HOXD13,125426,622,48.20850661480394,0.23907077571163912,201.64951768488746,7.655706144814555,7.655706144814555,Homeodomain,0.0,0.0,GOF
TBPL2,109382,547,42.04186429082076,0.21024391368853151,199.9670932358318,7.643618798117325,7.643618798117325,TBP,0.0,0.0,GOF
DNMT3A,121214,636,46.58959004358621,0.24445178995595254,190.58805031446542,7.574313856281197,7.574313856281197,GATA,0.0,0.0,GOF
AHCTF1,87870,469,33.77355154627288,0.1802639771844996,187.35607675906184,7.5496389609725085,7.5496389609725085,AT hook,0.0,0.0,GOF
HOXC6,24513,141,9.421771583632491,0.05419450060344231,173.85106382978722,7.441708085009736,7.441708085009736,Homeodomain,0.0,0.0,GOF
ZNF865,1,150,0.0003843581603081015,0.05765372404621522,0.006666666666666667,-7.22881869049588,7.22881869049588,C2H2 ZF,3.684023832263217e-27,1.4846616044020764e-24,LOF
JUN,1,143,0.0003843581603081015,0.05496321692405851,0.006993006993006993,-7.159871336778389,7.159871336778389,bZIP,1.2367877092446038e-25,4.984254468255753e-23,LOF
ONECUT1,5,707,0.0019217908015405074,0.27174121933782774,0.007072135785007072,-7.143638309922037,7.143638309922037,CUT; Homeodomain,5.906155035307367e-124,2.3801804792288687e-121,LOF
HMGA2,1601,12,0.6153574146532705,0.004612297923697218,133.41666666666666,7.059795091795101,7.059795091795101,AT hook,9.78289433795193e-279,3.942506418194628e-276,GOF
USF2,0,132,0.0,0.0507352771606694,0.007518796992481203,-7.05528243550119,7.05528243550119,bHLH,4.47689903907733e-25,1.804190312748164e-22,LOF
FOXO3,30708,232,11.802870386741182,0.08917109319147955,132.36206896551724,7.04834593763303,7.04834593763303,Forkhead,0.0,0.0,GOF
BACH1,1,132,0.0003843581603081015,0.0507352771606694,0.007575757575757576,-7.044394119358453,7.044394119358453,bZIP,7.6951981596216e-24,3.1011648583275046e-21,LOF
SEBOX,2321,18,0.8920952900751036,0.006918446885545827,128.94444444444446,7.01060580590217,7.01060580590217,Homeodomain,0.0,0.0,GOF
DBP,4881,41,1.8760521804638435,0.015758684572632162,119.04878048780488,6.895409031775601,6.895409031775601,bZIP,0.0,0.0,GOF
BHLHE40,1,119,0.0003843581603081015,0.04573862107666408,0.008403361344537815,-6.894817763307944,6.894817763307944,bHLH,3.255633955025374e-21,1.3120204838752257e-18,LOF
EP300,7,828,0.0026905071221567105,0.31824855673510805,0.008454106280193236,-6.8861320354417215,6.8861320354417215,Unknown,1.28263245844146e-143,5.169008807519084e-141,LOF
LIN54,50359,429,19.355892594955684,0.16488965077217554,117.38694638694639,6.875128177184576,6.875128177184576,TCR/CxC,0.0,0.0,GOF
HMGB3,30814,265,11.84361235173384,0.1018549124816469,116.27924528301887,6.8614498024985995,6.8614498024985995,HMG/Sox,0.0,0.0,GOF
POU5F1B,9137,79,3.5118805107351236,0.030364294664340017,115.65822784810126,6.853724091749012,6.853724091749012,Homeodomain; POU,0.0,0.0,GOF
HLX,34062,311,13.092007656414554,0.11953538785581956,109.52411575562701,6.775104756865431,6.775104756865431,Homeodomain,0.0,0.0,GOF
E2F2,5287,53,2.0321015935489326,0.02037098249632938,99.75471698113208,6.640313156817743,6.640313156817743,E2F,0.0,0.0,GOF
FOXP1,3072,31,1.1807482684664878,0.011915102969551146,99.09677419354838,6.630766190334281,6.630766190334281,Forkhead,0.0,0.0,GOF
VENTX,8329,86,3.2013191172061775,0.03305480178649673,96.84883720930233,6.597662822472281,6.597662822472281,Homeodomain,0.0,0.0,GOF
SETBP1,35302,366,13.5686117751966,0.14067508667276515,96.4535519125683,6.591762461542196,6.591762461542196,AT hook,0.0,0.0,GOF
MSX2,59120,624,22.723254437414962,0.23983949203225532,94.74358974358974,6.565956430171265,6.565956430171265,Homeodomain,0.0,0.0,GOF
DBX2,35559,385,13.667391822395782,0.14797789171861908,92.36103896103896,6.529212496837719,6.529212496837719,Homeodomain,0.0,0.0,GOF
POU3F4,29358,320,11.283986870325244,0.12299461129859247,91.74375,6.519537973266835,6.519537973266835,Homeodomain; POU,0.0,0.0,GOF
FOXC1,20105,223,7.72752081299438,0.08571186974870663,90.15695067264573,6.494366815767418,6.494366815767418,Forkhead,0.0,0.0,GOF
FOXA3,20004,226,7.688700638803263,0.08686494422963094,88.51327433628319,6.467821927292385,6.467821927292385,Forkhead,0.0,0.0,GOF
ZNF34,251,3,0.09647389823733347,0.0011530744809243045,83.66666666666667,6.386581053229616,6.386581053229616,C2H2 ZF,6.546904896570561e-43,2.638402673317936e-40,GOF
PAX4,44206,533,16.990936834579934,0.2048628994442181,82.93808630393997,6.373962854071587,6.373962854071587,Homeodomain; Paired box,0.0,0.0,GOF
TFAP4,9,743,0.0034592234427729134,0.2855781131089194,0.012113055181695828,-6.367293399096284,6.367293399096284,bHLH,3.4680165155423915e-125,1.3976106557635838e-122,LOF
ARID5A,19279,237,7.410040972579889,0.09109288399302005,81.34599156118144,6.345999351697464,6.345999351697464,ARID/BRIGHT,0.0,0.0,GOF
ARID3C,37166,465,14.2850553860109,0.1787265445432672,79.9268817204301,6.320608899695797,6.320608899695797,ARID/BRIGHT,0.0,0.0,GOF
FOXK1,6783,85,2.6071014013698526,0.03267044362618863,79.8,6.318316841334983,6.318316841334983,Forkhead,0.0,0.0,GOF
ISX,50409,651,19.37511050297109,0.25021716236057406,77.4331797235023,6.274879981224035,6.274879981224035,Homeodomain,0.0,0.0,GOF
ZNF623,77,1,0.029595578343723814,0.0003843581603081015,77.0,6.266786540694901,6.266786540694901,C2H2 ZF,1.5930175682225918e-13,6.419860799937044e-11,GOF
NFE2L2,0,76,0.0,0.029211220183415713,0.012987012987012988,-6.266786540694901,6.266786540694901,bZIP,1.3985011801654277e-14,5.6359597560666735e-12,LOF
WT1,17456,245,6.70935604633822,0.09416774927548487,71.24897959183673,6.1547974473210365,6.1547974473210365,C2H2 ZF,0.0,0.0,GOF
DMRT2,2802,40,1.0769715651833005,0.01537432641232406,70.05,6.130313145543456,6.130313145543456,DM,0.0,0.0,GOF
LHX9,86488,1298,33.24236856872708,0.4988968920799157,66.63174114021572,6.058137687751029,6.058137687751029,Homeodomain,0.0,0.0,GOF
PROP1,50513,777,19.41508375164313,0.29864629055939484,65.01029601029602,6.022596318054316,6.022596318054316,Homeodomain,0.0,0.0,GOF
HESX1,18657,291,7.170970196868249,0.11184822464965753,64.11340206185567,6.002554059643443,6.002554059643443,Homeodomain,0.0,0.0,GOF
SHOX,30660,484,11.784421195046392,0.18602934958912112,63.34710743801653,5.985206839271545,5.985206839271545,Homeodomain,0.0,0.0,GOF
DBX1,6800,114,2.61363549009509,0.04381683027512357,59.64912280701754,5.898429016860322,5.898429016860322,Homeodomain,0.0,0.0,GOF
PAX6,15748,268,6.052872308531983,0.1030079869625712,58.76119402985075,5.876791806701268,5.876791806701268,Homeodomain; Paired box,0.0,0.0,GOF
MSX3,51441,880,19.77176812440905,0.3382351810711293,58.455681818181816,5.8692713545891335,5.8692713545891335,Homeodomain,0.0,0.0,GOF
NOBOX,44977,840,17.28727697617748,0.32286085465880526,53.54404761904762,5.742654297355154,5.742654297355154,Homeodomain,0.0,0.0,GOF
NKX1-2,58652,1104,22.54337481839077,0.42433140898014404,53.1268115942029,5.731368226948101,5.731368226948101,Homeodomain,0.0,0.0,GOF
ZNF263,9,478,0.0034592234427729134,0.18372320062727251,0.01882845188284519,-5.7309418065384365,5.7309418065384365,C2H2 ZF,2.013214448686219e-77,8.113254228205464e-75,LOF
ZNF426,156,3,0.05995987300806383,0.0011530744809243045,52.0,5.700439718141092,5.700439718141092,C2H2 ZF,6.251001163574541e-26,2.51915346892054e-23,GOF
OTP,50802,989,19.526163259972172,0.3801302205447124,51.367037411526795,5.6827709636870765,5.6827709636870765,Homeodomain,0.0,0.0,GOF
ZNF596,6,301,0.002306148961848609,0.11569180625273855,0.019933554817275746,-5.648657176038546,5.648657176038546,C2H2 ZF,7.767601353045043e-49,3.1303433452771525e-46,LOF
TLX2,11101,236,4.266759937580235,0.09070852583271195,47.03813559322034,5.555758973434929,5.555758973434929,Homeodomain,0.0,0.0,GOF
FOXM1,12334,267,4.740673549240124,0.1026236288022631,46.19475655430712,5.5296571992904635,5.5296571992904635,Forkhead,0.0,0.0,GOF
